recommendation_id,source_id,extraction_note_id,original_or_adapted,upstream_source_id,section,subsection,table_or_figure,page,paragraph_or_item,age_group,therapy_direction,population_qualifiers,treatment_phase,analyte,measurement_name,unit,assay_or_lab_context,recommendation_type,comparison_operator,lower_bound,upper_bound,single_threshold,non_numeric_instruction,route,formulation,dosing_interval,specimen_timing,time_since_dose_or_application,short_source_excerpt,faithful_paraphrase,required_context,unknowns,claims_not_supported,comparison_group,comparable_status,noncomparability_reason,extracted_by,extraction_date,verification_status,human_verified_by,human_verification_date,another_review_needed
REC0011,SRC0001,EXT0011,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender males,Table 14,3890,Item 2,adolescent_and_adult,masculinizing,Applies to adolescents after pubertal induction has been completed and to adults receiving testosterone therapy.,not_specified,testosterone_unspecified,serum testosterone,,,physiologic_range,within_reference_range,,,,Maintain levels in the normal physiologic male range.,,,,not_specified,,until levels are in the normal physiologic male range,The Table 14 monitoring plan identifies the normal physiologic male range as the non-numeric level category for serum testosterone.,This range instruction is embedded in Item 2's monitoring-frequency sentence. Table 14 is labeled as adapted from references 154 and 159. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15 and points transgender male adolescents at adult dosing to Table 14.,"The testosterone fraction, assay, laboratory reference population, numerical boundaries, route, and treatment phase are not specified. The item-level upstream relationship is unresolved.","This instruction does not authorize conversion of the normal physiologic male range into a fixed interval, does not establish total testosterone, and cannot be treated as directly comparable to a hard target interval.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-12,no
REC0012,SRC0001,EXT0012,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender males,Table 14,3890,Item 2a,adolescent_and_adult,masculinizing,Applies to adolescents after pubertal induction has been completed and to adults receiving testosterone therapy.,not_specified,testosterone_unspecified,testosterone level,,,specimen_timing,not_applicable,,,,Measure the testosterone level midway between injections.,injection,testosterone enanthate;testosterone cypionate,,mid_cycle,midway between injections,"For testosterone enanthate/cypionate injections, the testosterone level should be measured midway between injections.","For transgender male adolescents after completed pubertal induction and adults using testosterone enanthate or cypionate injections, the guideline instructs clinicians to measure the testosterone level midway between injections.",This specimen-timing instruction precedes a corrected 400–700 ng/dL target and an alternative peak-and-trough instruction in the same table item. Table 14 is labeled as adapted from references 154 and 159. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15 and points transgender male adolescents at adult dosing to Table 14.,"The testosterone fraction and assay are not specified. The injection route is stated, but intramuscular versus subcutaneous applicability is not distinguished in this item. Item-level provenance is unresolved.","This instruction does not establish that a mid-cycle result is interchangeable with peak or trough results, does not specify total testosterone, and does not support other formulations or routes.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-11,no
REC0013,SRC0001,EXT0013,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender males,Table 14,3890,Item 2a; corrected by DOI 10.1210/jc.2017-02548,adolescent_and_adult,masculinizing,Applies to adolescents after pubertal induction has been completed and to adults receiving testosterone therapy.,not_specified,testosterone_unspecified,testosterone level,ng/dL,,target_interval,between,400,700,,,injection,testosterone enanthate;testosterone cypionate,,mid_cycle,midway between injections,The target level is 400–700 ng/dL.,"For transgender male adolescents after completed pubertal induction and adults using testosterone enanthate or cypionate injections, the corrected Table 14 target for a level measured midway between injections is 400–700 ng/dL.",Corrigendum DOI 10.1210/jc.2017-02548 removes the erroneous trailing words “to 400 ng/dL” from the originally published item. The target remains linked to the preceding midway-between-injections timing. Table 14 is labeled as adapted from references 154 and 159. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15 and points transgender male adolescents at adult dosing to Table 14.,The testosterone fraction and assay are not specified. Intramuscular versus subcutaneous applicability is not distinguished in Item 2a. The table-level adaptation note does not resolve item-level provenance.,"This corrected interval does not establish a target for other formulations, routes, specimen timings, or testosterone fractions and does not support patient-specific interpretation.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-11,no
REC0014,SRC0001,EXT0014,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender males,Table 14,3890,Item 2a,adolescent_and_adult,masculinizing,Applies to adolescents after pubertal induction has been completed and to adults receiving testosterone therapy.,not_specified,testosterone_unspecified,testosterone levels,,,specimen_timing,not_applicable,,,,"Alternatively, measure peak and trough levels.",injection,testosterone enanthate;testosterone cypionate,,route_specific,peak and trough relative to injections; exact offsets not specified,"Alternatively, measure peak and trough levels to ensure levels remain in the normal male range.","For transgender male adolescents after completed pubertal induction and adults using testosterone enanthate or cypionate injections, the guideline instructs clinicians to measure peak and trough testosterone levels as an alternative specimen-timing approach.",This is an alternative to the midway-between-injections measurement approach. The associated instruction that the peak and trough levels remain in the normal male range is represented separately by REC0033. The source does not supply exact peak or trough collection offsets. Table 14 is labeled as adapted from references 154 and 159. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15 and points transgender male adolescents at adult dosing to Table 14.,"The testosterone fraction, assay, exact collection offsets, and numeric normal-male-range boundaries for peak and trough results are not specified. Item-level provenance is unresolved.","This instruction does not make peak, trough, and mid-cycle measurements numerically interchangeable and does not establish a fixed interval for peak or trough values.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-13,no
REC0015,SRC0001,EXT0015,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender males,Table 14,3890,Item 2b,adolescent_and_adult,masculinizing,Applies to adolescents after pubertal induction has been completed and to adults receiving testosterone therapy.,not_specified,testosterone_unspecified,testosterone,,,specimen_timing,not_applicable,,,,Measure testosterone just before the following injection.,parenteral,testosterone undecanoate,,before_next_dose,just before the following injection,"For parenteral testosterone undecanoate, testosterone should be measured just before the following injection.","For transgender male adolescents after completed pubertal induction and adults using parenteral testosterone undecanoate, the guideline instructs clinicians to measure testosterone immediately before the next injection.",The same table item links this pre-injection specimen to a conditional dosing-interval instruction at levels below 400 ng/dL. Table 14 is labeled as adapted from references 154 and 159. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15 and points transgender male adolescents at adult dosing to Table 14.,The testosterone fraction and assay are not specified. The item does not restate the dosing interval. Item-level provenance is unresolved.,"This timing instruction does not establish a target interval, does not apply to other formulations, and does not establish comparability with mid-cycle, peak, or trough values from other regimens.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-12,no
REC0016,SRC0001,EXT0016,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender males,Table 14,3890,Item 2b,adolescent_and_adult,masculinizing,Applies to adolescents after pubertal induction has been completed and to adults receiving testosterone therapy.,dose_adjustment,testosterone_unspecified,testosterone,ng/dL,,conditional_action_threshold,less_than,,,400,Adjust the dosing interval if the pre-injection testosterone level is below 400 ng/dL.,parenteral,testosterone undecanoate,,before_next_dose,just before the following injection,"If the level is <400 ng/dL, adjust dosing interval.","For transgender male adolescents after completed pubertal induction and adults using parenteral testosterone undecanoate, the guideline instructs clinicians to adjust the dosing interval when the testosterone level measured just before the next injection is below 400 ng/dL.","The threshold is a conditional trigger for a dosing-interval action, not a lower boundary of a therapeutic interval. Table 14 is labeled as adapted from references 154 and 159. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15 and points transgender male adolescents at adult dosing to Table 14.","The testosterone fraction, assay, direction or magnitude of the interval adjustment, and item-level upstream relationship are not specified.","This instruction does not establish a universal lower target, does not specify how to adjust the interval, does not apply to other formulations or specimen timings, and does not support patient-specific dosing advice.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-12,no
REC0017,SRC0001,EXT0017,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender males,Table 14,3890,Item 2c,adolescent_and_adult,masculinizing,Applies to adolescents after pubertal induction has been completed and to adults receiving testosterone therapy.,not_specified,testosterone_unspecified,testosterone level,,,specimen_timing,not_applicable,,,,Measure no sooner than after one week of daily application and at least two hours after application.,transdermal,testosterone,daily,after_application,after at least 1 week of daily application; at least 2 hours after application,"For transdermal testosterone, the testosterone level can be measured no sooner than after 1 wk of daily application (at least 2 h after application).","For transgender male adolescents after completed pubertal induction and adults using transdermal testosterone, the guideline permits measurement only after at least one week of daily use and at least two hours after the application preceding the specimen.",Both the duration of daily use and the minimum time after application qualify the specimen-timing instruction. Table 14 is labeled as adapted from references 154 and 159. The guideline directs monitoring after adolescent pubertal induction has been completed to Tables 14 and 15 and points transgender male adolescents at adult dosing to Table 14.,"The testosterone fraction, assay, specific transdermal product, and item-level upstream relationship are not specified. The passage does not state an upper limit for time after application.","This instruction does not establish a numerical testosterone target, does not apply to injectable formulations, and does not establish equivalence across transdermal products.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-12,no
REC0018,SRC0001,EXT0018,unclear,,4.0 Adverse Outcome Prevention and Long-Term Care,Transgender females,,3890,Evidence preceding Table 15,not_specified,feminizing,,general,estradiol,serum estradiol levels,,Laboratory participating in external quality control; estradiol measurement in blood described as challenging.,qualitative_instruction,not_applicable,,,,Monitor serum estradiol using laboratories participating in external quality control.,,,,not_specified,,Clinicians should monitor serum estradiol levels using laboratories participating in external quality control.,"For feminizing therapy, the guideline instructs clinicians to monitor serum estradiol using laboratories participating in external quality control.","The instruction appears immediately before Table 15 and is justified by the stated difficulty of measuring estradiol in blood. The recommendation passage itself does not specify age applicability; the adolescent section cross-references Tables 14 and 15, not this surrounding prose instruction.","The source does not name a particular assay, external quality-control program, route, formulation, specimen timing, or treatment phase. Recommendation-level provenance is unclear.","This instruction does not establish that all assays or laboratories are equivalent, does not define a target interval, and does not support patient-specific laboratory interpretation.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-11,verified,Tommi,2026-08-12,no
REC0019,SRC0002,EXT0019,unclear,,Chapter 12 Hormone Therapy,,,S110,"Paragraph beginning “In general, the goal...”",adolescent_and_adult,general_gaht,,general,testosterone_unspecified,serum testosterone levels,,,qualitative_instruction,not_applicable,,,,Use serum testosterone levels to monitor most sex steroid treatments.,,,,not_specified,,can use serum testosterone and/or estradiol levels to monitor most sex steroid treatments.,"For TGD adults and adolescents, SOC8 identifies serum testosterone as usable for monitoring most sex steroid treatments.",The compound sentence also names serum estradiol and is split by analyte. The preceding sentence says the general goal is to match serum sex-steroid levels to levels associated with the individual’s gender identity and says optimal target ranges have not been established.,"The testosterone fraction, assay, route, formulation, specimen timing, and exact treatment types covered by “most” are not specified. Recommendation-level provenance is unclear.","This passage does not establish total testosterone, a numerical target, universal monitorability for every treatment, or equivalence across therapy directions.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-12,verified,Tommi,2026-08-12,no
REC0020,SRC0002,EXT0020,unclear,,Chapter 12 Hormone Therapy,,,S110,"Paragraph beginning “In general, the goal...”",adolescent_and_adult,general_gaht,,general,estradiol,serum estradiol levels,,,qualitative_instruction,not_applicable,,,,Use serum estradiol levels to monitor most sex steroid treatments.,,,,not_specified,,can use serum testosterone and/or estradiol levels to monitor most sex steroid treatments.,"For TGD adults and adolescents, SOC8 identifies serum estradiol as usable for monitoring most sex steroid treatments.",The compound sentence also names serum testosterone and is split by analyte. The source immediately states that conjugated-estrogen or synthetic-estrogen use cannot be monitored and that optimal target ranges have not been established.,"Assay, route, formulation, specimen timing, and the exact treatment types covered by “most” are not specified. Recommendation-level provenance is unclear.","This passage does not establish that conjugated or synthetic estrogens can be monitored by serum estradiol, a numerical target, or equivalence across estrogen formulations.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-12,verified,Tommi,2026-08-12,no
REC0021,SRC0002,EXT0021,unclear,,Chapter 12 Hormone Therapy,Statement 12.16 supporting text,,S123,Paragraph beginning “The rationale for adding...”,adolescent_and_adult,feminizing,TGD people with testes taking estrogen with a testosterone-lowering medication; includes gender-diverse and nonbinary people when the stated treatment context applies.,general,testosterone_unspecified,testosterone levels,,Reference population is cisgender women; assay and numerical boundaries are not specified.,laboratory_reference_range,within_reference_range,,,,Lower testosterone levels to within the reference range of cisgender women.,,,,not_specified,,to lower testosterone levels to within the reference range of cisgender women,SOC8 describes lowering testosterone into the cisgender-women reference range as one rationale for adding a testosterone-lowering medication to estrogen.,The instruction appears in the supporting rationale for Statement 12.16 and is paired with reducing the amount of estrogen needed for physical effects. Appendix C Table 5 supplies a separate numerical threshold and is not substituted for the unspecified reference range here.,"The testosterone fraction, assay, laboratory, numerical boundaries, route, formulation, treatment phase, and recommendation-level provenance are not specified.","This passage does not define a universal numerical interval, establish total testosterone, or prove that every laboratory uses the same reference range.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-12,verified,Tommi,2026-08-12,no
REC0022,SRC0002,EXT0022,unclear,,Chapter 15 Primary Care,Statement 15.11 supporting text,,S153,Paragraph discussing estradiol-antiretroviral interactions,not_specified,feminizing,TGD people living with HIV and taking antiretroviral therapy when concerns exist about potential interactions affecting estradiol.,general,estradiol,blood hormone levels,,"Estradiol is described as partly metabolized by CYP3A4 and CYP1A2; potential interactions are discussed for inducing or inhibiting medications, including efavirenz and nevirapine.",qualitative_instruction,not_applicable,,,,Monitor blood hormone levels as needed when concerns exist about potential estradiol-antiretroviral interactions.,,,,not_specified,,"If concerns exist about potential interactions, HCPs should monitor blood hormone levels as needed.","When a potential estradiol-antiretroviral interaction is a concern, SOC8 instructs clinicians to monitor blood hormone levels as needed.",The immediately preceding sentences identify estradiol metabolism and note that preferred integrase-inhibitor regimens generally have minimal to no interaction with gender-affirming hormones.,"The passage says “blood hormone levels” rather than repeating estradiol in the instruction. It does not specify assay, target, frequency, specimen timing, route, formulation, or age group.","This passage does not require routine intensified testing for all antiretroviral regimens, define a target range, or establish a specific monitoring interval.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-12,excluded,,,no
REC0023,SRC0002,EXT0023,adapted,SRC0001,Appendix C Gender-Affirming Hormonal Treatments,Transgender male or trans masculine (including gender diverse/nonbinary) individuals,Table 5,S255,Item 2,adolescent_and_adult,masculinizing,"Transgender male or trans masculine people, including gender-diverse/nonbinary people, receiving gender-affirming testosterone.",dose_adjustment,total_testosterone,serum total testosterone,,,monitoring_frequency,not_applicable,,,,Measure serum total testosterone every 3 months with dose changes until levels are at goal.,,,,not_specified,,Measure serum total testosterone every 3 months (with dose changes) until levels are at goal,"SOC8 instructs clinicians to measure serum total testosterone every three months, with dose changes, until levels are at goal.",Table 5 is explicitly adapted from the Endocrine Society Guidelines. The table separately describes route-specific timing and target instructions; those are extracted as distinct records.,"The assay, exact start point, duration beyond reaching goal, and whether the schedule applies outside dose changes are not specified in Item 2.","This instruction does not by itself define the goal level, specimen timing, or a stable-maintenance monitoring interval.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-12,verified,Tommi,2026-08-12,no
REC0024,SRC0002,EXT0024,adapted,SRC0001,Appendix C Gender-Affirming Hormonal Treatments,Transgender male or trans masculine (including gender diverse/nonbinary) individuals,Table 5,S255,Item 2a,adolescent_and_adult,masculinizing,"Transgender male or trans masculine people, including gender-diverse/nonbinary people, using parenteral testosterone.",not_specified,total_testosterone,serum total testosterone,,,specimen_timing,not_applicable,,,,Measure serum total testosterone midway between injections.,parenteral,testosterone,,mid_cycle,midway between injections,the serum total testosterone should be measured midway between injections,"For parenteral testosterone, SOC8 instructs clinicians to collect serum total testosterone midway between injections.",The timing immediately precedes a 400-700 ng/dL target. Table 5 is explicitly adapted from the Endocrine Society Guidelines.,"The specific parenteral formulation, dosing interval, injection route, assay, and exact elapsed time are not specified.",This instruction does not apply to transdermal testosterone or testosterone undecanoate and does not make mid-cycle results interchangeable with peak or trough results.,,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-12,verified,Tommi,2026-08-12,no
REC0025,SRC0002,EXT0025,adapted,SRC0001,Appendix C Gender-Affirming Hormonal Treatments,Transgender male or trans masculine (including gender diverse/nonbinary) individuals,Table 5,S255,Item 2a,adolescent_and_adult,masculinizing,"Transgender male or trans masculine people, including gender-diverse/nonbinary people, using parenteral testosterone.",not_specified,total_testosterone,serum total testosterone,ng/dL,,target_interval,between,400,700,,,parenteral,testosterone,,mid_cycle,midway between injections,The target level is 400-700 ng/dL.,"For serum total testosterone measured midway between parenteral injections, SOC8 gives a target interval of 400-700 ng/dL.",The target is grammatically linked to the preceding midway-between-injections timing. Table 5 is explicitly adapted from the Endocrine Society Guidelines.,"The specific parenteral formulation, injection route, dosing interval, and assay are not specified.","This item does not establish the 400–700 ng/dL interval for peak/trough, transdermal, or testosterone-undecanoate measurements and does not support patient-specific dosing advice.",,undetermined,,GPT-5.6-Codex (AI-assisted draft),2026-08-12,verified,Tommi,2026-08-13,no
